Group	filter	actor	item	Distance	DistanceM	Space	SpaceM	HoldT	HoldTM	Subs	SubsM	Peak	PeakM	Gaze	Duration	DurationM
1	1	6	27	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	3397.00	-2.07
1	1	6	28	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.33	3431.00	-2.10
1	1	6	29	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.04	3287.00	-1.84
1	1	6	30	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	4222.00	-1.27
1	1	6	31	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	4562.00	-1.92
1	1	7	1	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	4811.00	-.31
1	1	7	2	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.41	6704.00	-.37
1	1	7	3	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.3	4591.00	-1.09
1	1	7	4	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.27	5297.00	-.81
1	1	7	5	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.38	5368.00	-.92
1	1	7	6	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.44	5405.00	-1.12
1	1	7	7	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.08	5987.00	-.84
1	1	7	8	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.23	6411.00	-.37
1	1	7	9	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	5836.00	-.59
1	1	7	10	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.28	6175.00	-.98
1	1	7	11	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.46	6370.00	-.16
1	1	7	12	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.46	6370.00	-.09
1	1	7	13	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.33	7175.00	-.74
1	1	7	14	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.41	4929.00	-.85
1	1	7	15	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.2	6564.00	-.46
1	1	7	16	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.58	5716.00	.22
1	1	7	17	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.29	5684.00	-.18
1	1	7	18	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.14	5000.00	-.74
1	1	7	19	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.52	5000.00	-.66
1	1	7	20	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.43	5537.00	-1.18
1	1	7	21	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.48	5756.00	-.77
1	1	7	22	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.09	5368.00	-1.16
1	1	7	23	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.17	6178.00	-.70
1	1	7	24	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.27	5617.00	-.44
1	1	7	25	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	4597.00	-1.37
1	1	7	26	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.27	6000.00	-.93
1	1	7	27	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.2	6000.00	-.68
1	1	7	28	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.61	5207.00	-.93
1	1	7	29	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.23	5039.00	-.64
1	1	7	30	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.22	5020.00	-.61
1	1	7	31	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.06	6149.00	-1.15
0	1	8	1	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.3	5149.00	-.06
0	1	8	2	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	8592.00	.07
0	1	8	3	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.03	5319.00	-.58
0	1	8	4	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.06	4688.00	-1.24
0	1	8	5	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	6520.00	-.48
0	1	8	6	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.09	6750.00	-.44
0	1	8	7	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.02	6021.00	-.83
0	1	8	8	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	4562.00	-1.31
0	1	8	9	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	5908.00	-.55
0	1	8	10	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.08	8088.00	-.22
0	1	8	11	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.06	5104.00	-1.02
0	1	8	12	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.06	5104.00	-.95
0	1	8	13	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.08	9000.00	.25
0	1	8	14	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.06	5893.00	-.09
0	1	8	15	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.27	6513.00	-.48
0	1	8	16	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.03	5187.00	-.20
0	1	8	17	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.26	5605.00	-.24
0	1	8	18	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	6458.00	.25
0	1	8	19	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	6771.00	.75
0	1	8	20	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.07	8000.00	.09
0	1	8	21	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.04	13108.00	1.07
0	1	8	22	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	6593.00	-.63
0	1	8	23	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	9605.00	.53
